"Simbolo","Probabilidad","Informacion"
"(broadcast, IP)","0.21343333333333334","2.2281425856451618"
"(broadcast, ARP)","0.16416666666666666","2.606766871039505"
"(unicast, IPv6)","0.23548333333333332","2.0863031402222747"
"(unicast, ARP)","0.0006666666666666666","10.550746785383243"
"(unicast, IP)","0.37546666666666667","1.4132432616333084"
"(broadcast, LLC)","0.008033333333333333","6.959785544040644"
"(unicast, LLC)","0.0014","9.480357457491845"
"(broadcast, Raw)","0.00135","9.53282487738598"
"Entropia de la fuente","2.014505404048788"
"Entropia Máxima","3.0"
