"Simbolo","Probabilidad","Informacion"
"192.168.1.93","0.0008333333333333334","10.228818690495881"
"192.168.1.90","1.6666666666666667e-05","15.872674880270607"
"192.168.1.98","0.0012833333333333334","9.605888339575705"
"192.168.1.23","0.0114","6.454822365384707"
"169.254.255.255","0.002","8.965784284662087"
"192.168.1.66","0.0006","10.702749878828294"
"192.168.1.67","3.3333333333333335e-05","14.872674880270607"
"192.168.1.68","0.0035833333333333333","8.124482030681145"
"192.168.1.80","5e-05","14.287712379549449"
"192.168.1.84","0.0007166666666666667","10.446410125568509"
"192.168.1.87","1.6666666666666667e-05","15.872674880270607"
"192.168.1.88","5e-05","14.287712379549449"
"192.168.1.123","0.011866666666666666","6.396941449304208"
"192.168.1.141","0.023333333333333334","5.421463768438278"
"192.168.1.1","0.0020833333333333333","8.90689059560852"
"192.168.1.143","0.01145","6.448508591452505"
"192.168.1.76","0.0005166666666666667","10.918478569883732"
"192.168.1.71","0.00018333333333333334","12.413243261633308"
"192.168.1.70","0.0004166666666666667","11.228818690495881"
"192.168.1.56","0.0006833333333333333","10.515122875652523"
"192.168.1.55","0.0004","11.287712379549449"
"192.168.1.54","0.00028333333333333335","11.785212039020266"
"192.168.1.52","0.0012833333333333334","9.605888339575705"
"192.168.1.50","1.6666666666666667e-05","15.872674880270607"
"192.168.1.58","0.0016833333333333333","9.214463397518811"
"Entropia de la fuente","3.0569484206638107"
"Entropia Máxima","4.643856189774724"
